Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Травы__специи_и_соусы,"Соус маковый, кремовый",399 кКал,"0,92 г","33,33 г","23,43 г"
Травы__специи_и_соусы,Соус медово-горчичный,464 кКал,"0,87 г","40,83 г","22,93 г"
Травы__специи_и_соусы,Соус медово-горчичный обезжиренный,169 кКал,"1,07 г","1,47 г","37,23 г"
Травы__специи_и_соусы,Соус молочный по 2-92,84 кКал,2 г,"5,2 г","7,1 г"
Травы__специи_и_соусы,"Соус песто, готовый к употреблению, длительного хранения",426 кКал,5 г,"42,42 г","4,44 г"
Травы__специи_и_соусы,"Соус песто, готовый к употреблению, охлажденный",418 кКал,"9,83 г","37,6 г","8,29 г"
Травы__специи_и_соусы,Соус польский по 2-98,78 кКал,"2,6 г","6,1 г",3 г
Травы__специи_и_соусы,Соус с хреном по 2-104,27 кКал,"0,7 г","0,1 г","4,2 г"
Травы__специи_и_соусы,Соус сметанный по 2-94,78 кКал,"1,9 г","5,2 г","5,7 г"
Травы__специи_и_соусы,Соус Табаско с остым перцем,12 кКал,"1,29 г","0,76 г","0,2 г"
Травы__специи_и_соусы,Соус томатный острый,99 кКал,"2,5 г",0 г,"21,2 г"
Травы__специи_и_соусы,Соус томатный по 2-84,80 кКал,"1,7 г","4,5 г","7,8 г"
Травы__специи_и_соусы,Соус черносмородиновый по 2-110,275 кКал,"0,3 г","0,1 г","67,6 г"
Травы__специи_и_соусы,Соус чили шрирача,93 кКал,"1,93 г","0,93 г","16,96 г"
Травы__специи_и_соусы,"Тимьян, свежий",101 кКал,"5,56 г","1,68 г","10,45 г"
Травы__специи_и_соусы,"Тимьян, сушеный",276 кКал,"9,11 г","7,43 г","26,94 г"
Травы__специи_и_соусы,"Тмин, семена",333 кКал,"19,77 г","14,59 г","11,9 г"
Травы__специи_и_соусы,"Укроп, семена",305 кКал,"15,98 г","14,54 г","34,07 г"
Травы__специи_и_соусы,"Укроп, сушеный",253 кКал,"19,96 г","4,36 г","42,22 г"
Травы__специи_и_соусы,Уксус бальзамический,88 кКал,"0,49 г",0 г,"17,03 г"
Травы__специи_и_соусы,Уксус винный 3%,9 кКал,0 г,0 г,0 г
Травы__специи_и_соусы,"Уксус винный, красный",19 кКал,"0,04 г",0 г,"0,27 г"
Травы__специи_и_соусы,Уксус спиртовой,18 кКал,0 г,0 г,"0,04 г"
Травы__специи_и_соусы,Уксус столовый 9%,32 кКал,0 г,0 г,0 г
Травы__специи_и_соусы,Уксус яблочный,21 кКал,0 г,0 г,"0,93 г"
Травы__специи_и_соусы,"Фенхель, семена",345 кКал,"15,8 г","14,87 г","12,49 г"
Травы__специи_и_соусы,"Хрен, корень",59 кКал,"3,2 г","0,4 г","10,5 г"
Травы__специи_и_соусы,"Хрен, соус приготовленный",48 кКал,"1,18 г","0,69 г","7,99 г"
Травы__специи_и_соусы,"Чабер, молотый",272 кКал,"6,73 г","5,91 г","23,03 г"
Травы__специи_и_соусы,"Чеснок, порошок",331 кКал,"16,55 г","0,73 г","63,73 г"
Травы__специи_и_соусы,"Чили, порошок",282 кКал,"13,46 г","14,28 г","14,9 г"
Травы__специи_и_соусы,"Шалфей, молотый",315 кКал,"10,63 г","12,75 г","20,43 г"
Травы__специи_и_соусы,Шафран,310 кКал,"11,43 г","5,85 г","61,47 г"
Травы__специи_и_соусы,"Эстрагон (тархун), зелень свежая","24,8 кКал","1,5 г","0,008 г",5 г
Травы__специи_и_соусы,"Эстрагон, сушеный",295 кКал,"22,77 г","7,24 г","42,82 г"
